Fund_Name,Month,Date,NAV,Monthly_Return,Monthly_Return_Percent
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2020-12,2020-12-31,285.02,0.07945765793061632,7.945765793061632
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-01,2021-01-29,280.52,-0.015788365728720777,-1.5788365728720777
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-02,2021-02-26,300.56,0.07143875659489529,7.143875659489529
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-03,2021-03-31,301.57,0.003360393931328254,0.3360393931328254
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-04,2021-04-30,301.1,-0.0015585104619159074,-0.15585104619159074
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-05,2021-05-31,320.98,0.06602457655264038,6.602457655264038
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-06,2021-06-30,327.64,0.020748956321265943,2.0748956321265943
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-07,2021-07-30,336.6,0.02734708826761101,2.734708826761101
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-08,2021-08-31,360.75,0.07174688057041001,7.174688057041001
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-09,2021-09-30,369.42,0.024033264033264112,2.4033264033264112
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-10,2021-10-29,372.89,0.009393102701532152,0.9393102701532152
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-11,2021-11-30,359.8,-0.035104186221137534,-3.5104186221137534
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2021-12,2021-12-31,366.98,0.019955530850472414,1.9955530850472414
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-01,2022-01-31,367.31,0.0008992315657527783,0.08992315657527783
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-02,2022-02-28,354.16,-0.03580082219378722,-3.580082219378722
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-03,2022-03-31,364.68,0.029704088547549024,2.9704088547549024
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-04,2022-04-29,356.45,-0.022567730613140324,-2.2567730613140324
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-05,2022-05-31,348.02,-0.023649880768691234,-2.3649880768691234
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-06,2022-06-30,331.97,-0.04611803919314972,-4.611803919314972
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-07,2022-07-29,361.72,0.0896165316143025,8.961653161430249
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-08,2022-08-30,375.69,0.038621032843082936,3.8621032843082936
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-09,2022-09-30,365.36,-0.02749607389070774,-2.749607389070774
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-10,2022-10-31,381.6,0.04444931026932353,4.444931026932353
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-11,2022-11-30,394.91,0.0348794549266247,3.48794549266247
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2022-12,2022-12-30,382.53,-0.031348914942645245,-3.1348914942645245
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-01,2023-01-31,373.64,-0.02324000731968734,-2.324000731968734
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-02,2023-02-28,367.61,-0.016138529065410467,-1.6138529065410467
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-03,2023-03-31,368.07,0.0012513261336741799,0.125132613367418
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-04,2023-04-28,380.22,0.033010025266932974,3.3010025266932974
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-05,2023-05-31,394.97,0.03879333017726583,3.879333017726583
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-06,2023-06-30,412.44,0.04423120743347586,4.423120743347586
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-07,2023-07-31,425.8,0.03239259043739695,3.239259043739695
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-08,2023-08-31,421.65,-0.009746359793330273,-0.9746359793330273
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-09,2023-09-29,430.23,0.020348630380647492,2.034863038064749
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-10,2023-10-31,417.61,-0.029333147386281788,-2.933314738628179
Aditya Birla Sun Life Large Cap Fund - Direct Plan,2023-11,2023-11-30,441.63,0.05751777974665351,5.751777974665351
